,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education,Income
15779,PRT,1921,1.0,0.9637928476035019,0.015328931347440735,1.0,0.10298905001479737,0.0,high_income
15780,PRT,1922,1.0,0.9637928476035019,0.014420378659040585,1.0,0.10298905001479737,0.0,high_income
15781,PRT,1923,1.0,0.9637928476035019,0.012307841290041819,1.0,0.10298905001479737,0.0,high_income
15782,PRT,1924,1.0,0.9637928476035019,0.013610048608337382,1.0,0.10298905001479737,0.0,high_income
15783,PRT,1925,1.0,0.9637928476035019,0.023673802532527228,1.0,0.10298905001479737,0.0,high_income
15784,PRT,1926,1.0,0.9637928476035019,0.026871725905086876,1.0,0.10298905001479737,0.0,high_income
15785,PRT,1927,1.0,0.9637928476035019,0.02502281193293031,1.0,0.10298905001479737,0.0,high_income
15786,PRT,1928,1.0,0.9637928476035019,0.031057583880267803,1.0,0.10298905001479737,0.0,high_income
15787,PRT,1929,1.0,0.9637928476035019,0.035303823788487766,1.0,0.10298905001479737,0.0,high_income
15788,PRT,1930,1.0,0.9637928476035019,0.03442151462278648,1.0,0.10298905001479737,0.0,high_income
15789,PRT,1931,1.0,0.9637928476035019,0.03259831808607435,1.0,0.10298905001479737,0.0,high_income
15790,PRT,1932,1.0,0.9637928476035019,0.03299577879620844,1.0,0.10298905001479737,0.0,high_income
15791,PRT,1933,1.0,0.9637928476035019,0.03413115740423959,1.0,0.10298905001479737,0.0,high_income
15792,PRT,1934,1.0,0.9637928476035019,0.03520417141025922,1.0,0.10298905001479737,0.0,high_income
15793,PRT,1935,1.0,0.9637928476035019,0.03568823968200692,1.0,0.10298905001479737,0.0,high_income
15794,PRT,1936,1.0,0.9637928476035019,0.036558309266686774,1.0,0.10298905001479737,0.0,high_income
15795,PRT,1937,1.0,0.9637928476035019,0.038516706648962486,1.0,0.10298905001479737,0.0,high_income
15796,PRT,1938,1.0,0.9637928476035019,0.04025728243495513,1.0,0.10298905001479737,0.0,high_income
15797,PRT,1939,1.0,0.9637928476035019,0.040843740885949324,1.0,0.10298905001479737,0.0,high_income
15798,PRT,1940,1.0,0.9637928476035019,0.046596118500053574,1.0,0.10298905001479737,0.0,high_income
15799,PRT,1941,1.0,0.9637928476035019,0.058173531030571136,1.0,0.0,0.0,high_income
15800,PRT,1942,1.0,0.9637928476035019,0.06949575903326653,1.0,0.05682154483575026,0.0,high_income
15801,PRT,1943,1.0,0.9637928476035019,0.07434208913637268,1.0,0.09174311926605506,0.0,high_income
15802,PRT,1944,1.0,0.9637928476035019,0.07198924083567018,1.0,0.13199171352471145,0.0,high_income
15803,PRT,1945,1.0,0.9637928476035019,0.07449611460070021,1.0,0.17342408996744615,0.0,high_income
15804,PRT,1946,1.0,0.9637928476035019,0.08776268236162098,1.0,0.16957679786919216,0.0,high_income
15805,PRT,1947,1.0,0.9637928476035019,0.09811162747067222,1.0,0.2388280556377626,0.0,high_income
15806,PRT,1948,1.0,0.9637928476035019,0.09981487611337438,1.0,0.2604320804971886,0.0,high_income
15807,PRT,1949,1.0,0.9637928476035019,0.10802789981179117,1.0,0.21988754069251273,0.0,high_income
15808,PRT,1950,1.0,0.9637928476035019,0.13386244156329807,1.0,0.31340633323468486,0.0,high_income
15809,PRT,1951,1.0,0.9811050106346144,0.15272979149607555,1.0,0.31932524415507557,0.0,high_income
15810,PRT,1952,1.0,0.9934213780481772,0.15639197434478241,1.0,0.351879254217224,0.0,high_income
15811,PRT,1953,1.0,0.9170500074194984,0.15726722606785967,1.0,0.39035217519976334,0.0,high_income
15812,PRT,1954,1.0,0.877380422416778,0.16718958956889043,1.0,0.4229061852619119,0.0,high_income
15813,PRT,1955,1.0,0.9563733491615968,0.17520025935206937,1.0,0.3992305415803492,0.0,high_income
15814,PRT,1956,1.0,0.9004303309096305,0.18769280602990474,1.0,0.39331163065995867,0.0,high_income
15815,PRT,1957,1.0,0.9570658356828412,0.199660195947774,1.0,0.3992305415803492,0.0,high_income
15816,PRT,1958,1.0,0.9630014344363654,0.21338922661476226,1.0,0.46729801716484176,0.0,high_income
15817,PRT,1959,1.0,0.9640896275411783,0.22686816900052909,1.0,0.44362237348327904,0.0,high_income
15818,PRT,1960,1.0,0.9652272839689371,0.2484370163518767,1.0,0.4820952944658184,0.0,high_income
15819,PRT,1961,1.0,0.9861997328980561,0.2663564214710193,1.0,0.44066291802308366,0.0,high_income
15820,PRT,1962,1.0,1.0,0.28638392621633413,1.0,0.48505474992601355,0.0,high_income
15821,PRT,1963,1.0,0.9515754068358313,0.30535745272506004,1.0,0.5028114826871858,0.0,high_income
15822,PRT,1964,1.0,0.9896621655042785,0.33170925634889176,1.0,0.508730393607576,0.0,high_income
15823,PRT,1965,1.0,0.9614186081020922,0.36780554156290957,1.0,0.5383249482095293,0.0,high_income
15824,PRT,1966,0.935062653706523,0.9622100212692289,0.403587720476609,1.0,0.5235276709085527,0.0,high_income
15825,PRT,1967,0.8864035601358473,0.9629519711134196,0.45827456930872673,1.0,0.5501627700503108,0.0,high_income
15826,PRT,1968,0.8437756177538354,0.9451946381757926,0.5855583957780675,1.0,0.5590411364308966,0.0,high_income
15827,PRT,1969,0.7939454268649725,0.9425730820596527,0.6428534921682014,1.0,0.5472033145901156,0.0,high_income
