,Gender Equality,% Undernourishment,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,%EmploymentAgriFishForest,TotalAgri,Gender Inequality,% Soldiers,Marriage Rate,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Literacy Rate,Infant Mortality,% Population Growth,% Rural Population,Suicide Rate,Gini,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,Women Schooling Years,Men Schooling Years,% Education Expenditure,% Men Employment,% Women Employment,Population
Botswana,,,,0.7734853135438676,,,-0.31057251473212694,,-0.8712515134484705,,-0.9050817566491122,-0.7572284051389955,,0.828702076348998,,,-0.584643281857004,-0.6114284460495549,-0.9657489921953591,,,0.732856870626991,-0.3665300701572425,,-0.900795478260191,,,,,,0.9628570478738541
Switzerland,,,,0.9396807558745409,,-0.9166980828448635,0.5754045261729588,,-0.32792621432346036,-0.7133900061822632,-0.5729235906036909,-0.79440478180027,-0.913412207665415,0.9299533464215375,,,-0.8407666924719174,0.4574594952234754,-0.3699193278076204,,,0.5435141928069147,,,-0.8852678559494848,,,-0.18944699892172087,-0.8963024103907385,0.8611838876235216,0.960452745494202
Georgia,,,,,,,-0.5306232130158595,,0.357251711401339,,0.12424952878870071,0.7187663222817923,-0.6917877212048227,0.9256762692069265,,,-0.8912946873511751,0.522199646816499,-0.8926674829412357,,-0.22306265437813225,0.8046418028941114,0.7095241322484991,,0.4582030471044374,,,,,,-0.6476867516656366
Bhutan,,,,,,,0.9576060363139773,,,,-0.8790378837082956,-0.8103094150926804,-0.3139396296787003,0.9209803409872838,,,-0.9064850218650135,-0.046007734282985144,-0.9506024087099938,,,0.9150920728881703,0.8934878750773966,,-0.5310748010630756,,,,,,0.9626509824294527
France,,,,,-0.2760348767603759,-0.8906295745027971,0.862160635326326,,-0.8545366085800828,-0.8270243623194561,-0.5655356793705046,-0.4475578890975511,-0.8219063224570691,0.9355162133572638,,,-0.7826622239943747,-0.22303449825286334,-0.8939227391482558,,,-0.257983322082331,0.7116376204334093,,-0.920995016183413,,,,-0.6359755801617878,0.9291253178855545,0.9217717020117276
Monaco,,,,,,,,,,,,,,,,,-0.8821895201222575,0.20335320426135983,,,,,,,,,,,,,0.9498970616815088
Tuvalu,,,,,,,,,,,,,,,,,-0.9632637902958928,0.44286438405354406,-0.985030598894746,,,,,,,,,,,,0.9890977577888592
Kyrgyzstan,,,,0.9498397544161232,,-0.8264409868175284,0.9231529124565551,,0.5363021772253067,,,,,,,,,,,,,0.39000326467145185,0.7303874436084424,,0.5171958112822311,,,0.4701275081597438,,,0.9230400678074245
"China, mainland",,,,,,-0.8895103031746849,0.9375020061049721,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,0.8707765637885347,,-0.6709109931525237,,-0.7343113317531019,-0.6712889616339438,,0.8998342218536362,,,-0.922706511279293,-0.19711602456288074,-0.9467401929580378,,,0.9122169770490917,0.7560999918695287,,0.7395969552984959,,,,,,0.9786930742234013
Ethiopia PDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,0.9944693676133085,,-0.7823909140704027,,-0.8819421628236401,-0.5262438048881326,,0.908247050602143,,,-0.8363815713592405,-0.35278331456366835,-0.8978364367473678,,-0.965170641479984,0.6803128762400699,0.6025418840970844,,-0.936686794259704,,,,,,0.9119353804626539
Czechia,,,,0.6443603734854357,,-0.9166291535747165,0.8228472736942979,,-0.726582920619583,-0.5380916134150846,,,,,,,,,,,,0.23019061019219053,-0.6242739470468541,,-0.6941597600975318,,,0.3900790437166159,-0.12709394738886895,0.025379202366553374,0.8011426526195571
Marshall Islands,,,,,,,,,,,,,,,,,-0.9787558150242386,-0.39474871436080794,-0.9652380577740893,,,,,,,,,,,,0.9291026544670341
Comoros,,,,,,,,,,,-0.8794029228664548,-0.8952613506841334,,0.9184045723258439,,,-0.9050367231518436,-0.773313976681299,-0.43923930665204547,,,0.6775026386109555,0.4663421342589261,,-0.6031615739660421,,,,,,0.9370641807326998
Madagascar,,,,,,,0.7373931075691927,,-0.8950672847791467,,-0.9623490352172719,-0.8926181543318994,,0.9224460146925216,,,-0.9171853423503897,-0.9042737296467528,-0.9690854047438341,,,-0.2361869808228328,-0.620216630655902,,0.6937140579226354,,,0.761349363590794,,,0.9656707783092898
Lithuania,,,,,-0.8653350285199062,-0.9842779477588054,0.9273396844756058,,0.8811068362158663,0.3595746185204147,-0.4209143355372849,0.8887009424021677,-0.6849732522905304,0.8631377970762097,,,-0.9164967834425023,-0.3830836339683455,-0.11646357174078316,,,0.7266106754695303,0.5084057806623409,,-0.6671654499579022,,,-0.5984264130201891,,,-0.9625128650436874
Morocco,,,,,,0.6882183900922652,0.9258696213984096,,-0.9185993292848399,,-0.8105098602112333,-0.9465063493575618,0.11551418419705071,0.9738629786775023,,,-0.9577621839575761,-0.36509202882747765,-0.9662930938638223,,,0.7389359478441261,0.7583457342543964,,-0.2920102109623943,,,,,,0.9611100110690138
Bulgaria,,,,,,-0.8137618419878291,0.9042457612734704,,-0.8163845633508091,-0.56249315388579,0.07476817796306083,0.7906055866266498,-0.895377236185091,0.9296590496585827,,,-0.9716656638839001,0.056598713995388135,-0.9516646483632173,,,-0.27984923992057514,-0.8171761528731591,,-0.6074473720641311,,,,,,-0.9079675775364309
South Africa,,,,,,,0.9700586937152201,,-0.4374308843938509,,-0.613178305684097,0.1338836517175118,-0.8738528458839684,0.13930915907744748,,,-0.8047974581553254,-0.4873239395497133,-0.8845002882540479,,,0.45616254915282767,0.4113752744610085,,0.18956931829449794,,,,,,0.8601820831249812
North Macedonia,,,,,,,0.8742251323223296,,-0.4461705108696256,-0.6014190195385919,-0.8816544656066903,0.9153029228751444,-0.841554786287287,0.9573336493199509,,,-0.8008709778308488,-0.1545395845725413,0.6248539953404829,,,0.5167668346869014,-0.13191623923372744,,-0.7162066492936757,,,,,,0.8657161941295604
Norway,,,,,,-0.9256991768698385,0.8483720184410614,,-0.6976283581668917,-0.2759078268480993,-0.7289961058135599,-0.8908624339229616,-0.24624953803383937,0.8861927928255949,,,-0.8558948573127979,0.849276871939602,-0.8629721879116147,,,-0.17738454247550078,0.529516622607203,,-0.890810809465208,,,0.408801555343533,-0.38167484398586526,0.20060039381876316,0.835876116934525
Djibouti,,,,,,,,,-0.38679789067934944,,-0.8324629213683311,-0.983334199472446,,0.9976880617377545,,,-0.9127661326251638,-0.3269822499748373,-0.9529285990106864,,,-0.14029885381751514,0.5583820786556501,,0.8099699361189348,,,,,,0.9017277447288057
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,-0.7309660786025232,-0.057025006497880976,-0.6551348487997845,,,,,,,,,,,,0.61342636678224
Nigeria,,,,-0.6364657576555908,,,0.6366465656586887,,0.49121539004968984,,-0.8738759200047407,-0.953041055867106,,0.9480281415205403,,,-0.9270993456635757,0.8226821837986181,-0.9339920297873638,,,0.6836632420940886,0.7100472017981475,,0.5175983829601377,,,,,,0.920251223143349
Bolivia (Plurinational State of),,,,0.2612512213991556,,0.26403920186574575,0.973172119996199,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,0.9548146215823781,,-0.9046225977837946,,-0.9101249263390988,-0.5702136081464819,-0.4247683958171315,0.9051922158866818,,,-0.8627811659521206,-0.737961505262645,-0.8488421964254264,,,0.8457792895626367,-0.5750428141104945,,-0.763126271735284,,,,,,0.9504856651135284
Iraq,,,,,,,,,-0.4014285953278806,,-0.8783080988597968,-0.8217614591562165,,0.672981484594364,,,-0.9158896122239119,0.07878892568318703,-0.7308170687446933,,,0.662736367027878,0.8077474524026371,,0.5350394334212363,,,,,,0.9064939263293466
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9901027663823507
China,,,,,,,0.9647156783184874,,-0.8447224672542307,,-0.6526594717908802,0.8261473974269877,-0.9455110626415677,0.9368537706502913,,,-0.8769487980279568,-0.6946089469506169,-0.9479007236126149,,,-0.0034509327562802913,-0.9308494187992679,,0.8057635443390927,,,,,,0.8991381029190092
French Polynesia,,,,,,,,,,,-0.8045341189367682,0.16470230805290403,,0.8372903488164055,,,,-0.9162398440802667,-0.7224243540049851,,,,,,0.5045907261986283,,,,,,0.840044926806527
Samoa,,,,,,,,,,,-0.9485672488493911,-0.9451941764481032,,0.9719889190766977,,,-0.8291308287522883,-0.09477400642222253,0.8882886930935905,,,,,,-0.8516189120557924,,,,,,0.9673419957935364
Somalia,,,,,,,,,,,-0.2878033432845008,-0.5022126408950509,,0.4999803698893169,,,-0.14550164089766346,0.6550089654518295,-0.29830256877163314,,,0.05134193100748261,0.4470829838736269,,0.3868783829653988,,,,,,0.36544422634059975
Andorra,,,,,,,,,,,-0.6405161835716928,,,,,,-0.8249807659381311,-0.4194911966088002,0.8927872934145177,,,,,,,,,,,,0.9561548427051954
Cabo Verde,,,,,,,0.7885583410726646,,,,-0.8967422930719693,-0.7981033325609088,,0.9266054304710263,,,-0.9093763831894711,-0.8836023310097157,-0.955561198773846,,,,,,,,,,,,
Belize,,,,-0.09656441727621211,,,0.9113100309974679,,-0.8376782550652616,,-0.9795963142116634,-0.8722672399364255,,0.8487591790465285,,,-0.9437831044145782,-0.37336666635243376,0.6216350983246611,,,,,,-0.6224381947964703,,,,,,0.9871351963538927
Vanuatu,,,,,,,0.9074439213155159,,,,-0.9141879236885221,-0.8500392612268846,,0.9219454154993005,,,-0.6289074474221572,0.2801453218611779,-0.9252406581354996,,,0.08968891920392782,0.7175361978388057,,0.7478605296069651,,,,,,0.9667426976924325
Denmark,,,,,0.10841980673863232,-0.8797652023936267,0.6935631102165868,,-0.7096055492849576,-0.6330556363576648,-0.8712617674981151,-0.9323216583557484,-0.4016941990480271,0.9281158639932937,,,-0.9049144353517433,0.4831849662114654,-0.9326489758920002,,,-0.32051659097892243,-0.28541803473103894,,-0.9199101235114555,,,0.4574678958400302,-0.6812600903609084,0.0766631913708383,0.920400378924178
Suriname,,,,,,,0.9024999509179215,,-0.5190106551078236,,-0.8689366639767905,-0.5932842966407418,,0.9206747664697684,,,-0.8522166241027599,-0.6682439434219036,-0.01743541077965411,,,-0.6017318884398176,-0.4778559999411114,,0.4946312027221406,,,,,,0.870183560658538
Mozambique,,,,-0.9066984371730272,,,0.9228748332419595,,-0.4722424676242167,,-0.9217760036785421,-0.9187343785922142,,0.8669858885381229,,,-0.9176475961245867,-0.3813028451510303,-0.8941601587658631,,,-0.02676142701388631,0.36793554034976,,0.8670440689717392,,,,,,0.9192456872175196
Antigua and Barbuda,,,,,,,0.7951513509671568,,,,-0.8944835622432334,-0.596151710200031,,0.9588657067032077,,,-0.889685690096945,-0.6409722683746691,0.9579835683591871,,,,,,,,,,,,0.960540765387707
Finland,,,,,-0.40652209456179234,-0.8904887371814652,-0.012083339479629923,,-0.865969654295184,0.28257593273018095,-0.6728858873033815,-0.16769618908618505,-0.775437299039911,0.9058500607140657,,,-0.8760064223374763,-0.07081305789189313,-0.8818654084688359,,,-0.464240995020193,-0.34978162836994625,,-0.851586409297729,,,0.05873543546205989,-0.25807456826379854,-0.09720508011009334,0.8914015722179389
Equatorial Guinea,,,,,,,0.7786825155766026,,-0.8021198235769457,,-0.7188881011073459,-0.7869616845038906,,0.7528821814380393,,,-0.8223641248916048,0.5795961000049454,-0.8535348130178961,,,0.029120959186034866,-0.6004368373582781,,0.8511145404514514,,,,,,0.7549960025676896
Guyana,,,,-0.19852002459247162,,,0.8018368308522289,,-0.1833054937854074,,-0.9364532252375336,-0.6791018652906311,0.15136578301834455,0.9777618464381127,,,-0.9482849336580678,0.5323811306428671,0.94681148232163,,,0.43198011699360594,0.9038291076694115,,0.6625648186242836,,,,,,0.7111618372356537
Burkina Faso,,,,0.12770281221286328,,,0.9423261860094749,,-0.8216470015280457,,-0.9816408143614797,-0.9741495135828521,,0.9851928055448367,,,-0.9732581487114336,0.5267880006051587,-0.956948871013357,,,0.4561845747748457,0.6956245996378317,,0.7981452530259047,,,,,,0.9655047852025126
Seychelles,,,,-0.3517345175640436,,,,,,,-0.7517103028609234,0.36692037647285536,,0.7687437293232058,,,-0.09168795332486385,0.05115656510324139,-0.9298317195425533,,,0.8734838746688409,0.873847954642325,,,,,,,,0.9191145086155017
Ethiopia,,,,,,,0.8902840839038603,,-0.5861904723938564,,-0.8512625566097334,-0.8089081055744813,,0.8712713547726527,,,-0.81251211060178,-0.6037424948321962,-0.9433532170853581,,,0.4026399855469957,-0.07240826062954057,,-0.8485861052465993,,,,,,0.906220875499926
Sri Lanka,,,,0.7984066924090093,,-0.878697383880853,0.9620484941127676,,0.5758683289795415,,-0.9250897753159361,-0.28122538245853634,,0.8836457145736474,,,-0.9368612555217112,-0.006518860585797974,0.23129779555383637,,,0.6886002573617241,0.04050677677056361,,0.3342620739499901,,,,,,0.9512637662212244
Brazil,,,,,,-0.838937149885175,0.9875187522434841,,0.08887368556031541,,-0.8399995106324305,-0.3835531964346723,0.6646183671115594,0.8435850448952494,,,-0.8076923024697212,-0.850582678583193,-0.791127910820071,,-0.8063829715019535,-0.10436613300149795,-0.2288037055400834,,0.6738187785748567,,,,,,0.8278919293316069
Palestine,,,,,0.15092428952783962,,0.6907371674573223,,,,,,,,,,,,,,,,,,0.002997231136263532,,,,,,0.9349021040513688
Portugal,,,,,0.622492614071357,-0.5534607515898141,0.8944542936616269,,-0.5876677798750408,-0.9313503557153213,-0.8452098342189471,-0.10457388124761358,-0.3465186084760185,0.8913610651532096,,,-0.8958459682953986,-0.44576849176142697,-0.8993411463517264,,,-0.7203933059453353,0.18979855075609856,,-0.7877814004884959,,,-0.4605917292287052,-0.7294613918485623,0.2567440656550467,0.7803098753690977
Ukraine,,,,,,-0.6133913988828166,0.9148797953635129,,-0.8082921190644256,,0.4559880595061049,0.04243036751775193,-0.823973939182188,0.6639173697687546,,,-0.7610590276467789,0.4147588705003159,-0.7555367104346342,,-0.7417662011262541,-0.04374197640673597,0.2941280205938373,,-0.384019540581904,,,,,,-0.6873422650673653
Uzbekistan,,,,,,,,,-0.392065213584654,,-0.2730585963813238,-0.6737915542902627,-0.8732776797493723,0.8755890344573161,,,-0.870228257376514,0.2045896667218242,-0.7534047419073063,,,0.07732633510986577,0.1450104542262068,,0.8579520689925733,,,,,,0.8319430492451413
Kenya,,,,-0.9230825495428422,,,0.9848454464281448,,-0.9380597772539663,,-0.986162201942766,-0.9276147620952905,,0.9294828026001756,,,-0.8929194885976878,-0.8397814619302649,-0.9473707359843101,,,0.7759804292422479,0.596394926811568,,0.9298957904539668,,,-0.25665095872982646,,,0.950406507501859
Indonesia,,,,-0.3415730067692979,0.5571583843940692,-0.9100634074424238,0.9630199315946488,,0.42210664816504584,,-0.8986446797787311,-0.9138473309886515,,0.9336066539677313,,,-0.871701780459375,-0.7474618439200484,-0.8944754062641602,,0.9285291519856657,0.5715406316216294,0.5297897129560497,,0.8403954091026775,,,,,,0.9365032366699755
Slovakia,,,,,,-0.8646914176929579,0.5951196640068361,,-0.7941207306068255,0.022536816651829647,,,,,,,,,,,,0.042051261036440434,0.3712305761949081,,-0.426912666305787,,,0.33315370862940513,0.35833907540572385,0.2787654015390411,0.752853366851211
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,0.8375285003634572,,-0.28581291081633003,,-0.6964744525154293,-0.8495941555321386,,0.9010861798236633,,,-0.9084375934367369,0.5784430505971966,-0.8971334779668284,,,-0.9146510082769533,-0.6517531843208975,,-0.1788156922261018,,,0.6295713633749228,,,0.9465596089030396
Congo,,,,,,,0.8204359563138425,,-0.7910924199504815,,,,,,,,,,,,,-0.4937695140132471,-0.45795873399079595,,-0.24981541411414573,,,,,,0.8347676123603484
Aruba,,,,-0.8149204731716685,,,,,,,-0.941857844477464,0.8218678087508229,,0.8917270040776287,,,,-0.8387276949138854,0.9584301563702896,,,,,,,,,,,,0.9482052161596233
Côte d'Ivoire,,,,0.7407257094074532,,,0.8422501890272545,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran (Islamic Republic of),,,,-0.5403939522471527,,,0.9428575538829591,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,-0.8155996341824382,0.7620508663798585,,0.8993842220368984,,,-0.9475037245293912,-0.04097228202309442,-0.8059677146618459,,,0.5834334337902557,0.7677974974067241,,-0.9148813241794229,,,,,,0.8554111377852699
Eswatini,,,,,,,,,,,-0.8450747428664719,0.17205857340417752,-0.564346061153781,-0.09675907393218146,,,-0.5773231535020865,-0.6353477494168547,-0.6008958678327213,,,0.027513912791455375,0.7959096019954559,,0.4353352227974807,,,,,,0.8466032191056055
Greenland,,,,,,,,,,,-0.7798859875331783,0.35914869564466806,-0.6855251028434218,0.9704561199280485,,,,-0.39872839708944807,-0.9661538892830756,,,,,,,,,,,,0.6661081652677487
Malta,,,,,,-0.8899355457237837,0.3828621139342614,,-0.9590418365144319,-0.11763393012871025,-0.7669934278992607,0.03440290747592319,0.19704925279217292,0.9668557512348989,,,-0.7718672602306599,0.6131918874459071,-0.882866500093853,,,-0.816446320544264,-0.8287582960490794,,-0.9509881572279766,,,,,,0.9522061079107045
British Virgin Islands,,,,,,,,,,,,,,,,,,-0.20532078957719269,-0.953042411868719,,,,,,,,,,,,0.9139356040453707
Poland,,,,,,-0.9766952160952479,0.9385607182745404,,-0.7965704744618973,-0.1453034629629284,-0.516041545378379,0.41434064744695515,-0.9595654385041145,0.9404016775028412,,,-0.8984708272935857,-0.6190838719957518,0.846018279746458,,,-0.4738329158539317,-0.5158852731848277,,-0.5856171651462008,,,-0.7351038821301361,0.1726247331145716,0.10214032693720994,-0.5653454629981247
Barbados,,,,-0.7659910100065528,,-0.9384152346561773,-0.4238766647248608,,0.1478291987232741,,-0.9665416450107963,0.8737337397250703,0.2626356028165266,0.959795285237538,,,-0.6169610126066208,-0.6115318649104463,0.9675963975196888,,,-0.738436136879441,0.4066869036690593,,0.10605433841602553,,,,,,0.975946071428212
Russian Federation,,,,,,-0.8483394735538119,0.9298241279038949,,,,0.7356766033209285,-0.395302216062647,-0.8493223276087413,0.7944902160027396,,,-0.8589390276158433,0.5607318128777247,-0.7349262609692181,,,,,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4854654560653144
Luxembourg,,,,,0.7778224003270404,-0.8705095924979764,0.9415488509316582,,-0.47472427236071085,-0.9190649321718404,-0.9318524072799872,-0.9342164759190738,-0.5073808278718233,0.9692324597943133,,,-0.8401324988209079,0.8609821277085052,-0.974911293611668,,,,,,-0.9505598811369612,,,,-0.7534306557352076,0.9508262075620059,0.9503970664193871
Singapore,,,,0.8212963385407607,,,0.9758366258957093,,-0.48895779259764155,,-0.8069063442425515,0.5048287932076801,-0.8437660122131386,0.9520113500552326,,,-0.7476759551385546,-0.43308743764213753,,,,-0.5829162452098775,0.8430987608007291,,-0.9114579621296466,,,,,,0.9729959367604937
Ghana,,,,-0.704249226256184,,,0.8721225395619228,,0.31373301922061664,,-0.8971200235935007,-0.9734462621578222,,0.9820797654016605,,,-0.9253610858574359,-0.7673066206644271,-0.9190507061056684,,,0.3674036752451638,0.4008701879112183,,0.47104057747815814,,,,,,0.9453443486738321
Egypt,,,,-0.3055049978127487,,-0.8133497043775966,0.9467115472155627,,-0.39715491098935773,,,,,,,,,,,,,-0.8306292385218693,-0.17779473834348022,,0.7466255644462652,,,,,,0.932186130508805
Mauritania,,,,,,,,,-0.8247308223375258,,-0.9015153973264529,-0.9490927952703021,,0.9480777708732995,,,-0.954646534303704,0.6581369575118986,-0.9705285004721339,,,-0.1484974186949782,0.5880252797154679,,0.8765509998645655,,,,,,0.9327370692585176
Slovenia,,,,,,-0.6952310860169891,0.8467352925938146,,-0.7222327152338976,-0.8581802505625906,0.2535311013894474,-0.18656430278482686,-0.8536448653296643,0.9513328166831465,,,-0.9036347585853158,0.684853877473001,-0.8804921543592077,,,0.2575881879755043,-0.37258014676576223,,-0.9131073654569171,,,,-0.29955761044166296,0.10780892470005107,0.799361145330647
Afghanistan,,,,,,,,,-0.17254382992231704,,-0.9730405878590157,-0.9221008309000405,,0.9252857916441264,,,-0.9136731407862191,-0.4951785721089144,-0.9538121278530196,,,0.7311366367719876,0.7822970546297148,,-0.05594681004012687,,,,,,0.9243527315777202
Germany,,,,0.7763033937135405,0.524426325359989,-0.9054373546458016,0.8181703737354683,,-0.835110752087519,-0.5922286725162595,-0.5042025616080256,0.22997768895833942,-0.7746235477221505,0.9064340101003592,,,-0.8428017105011534,-0.2513727719338008,-0.912793939319485,,0.805586971669939,-0.6627588422418687,-0.5222298856325439,,-0.845795963735377,,,,-0.18275744978490382,0.8994301130280508,0.558114841725328
Maldives,,,,-0.6396343564767986,,,,,,,-0.7553492029078046,-0.7878492538504936,,0.8686782069327577,,,-0.8252005534856296,0.6507413676309438,-0.9186579641675156,,,0.3263096086502442,0.7316245661627906,,0.19725232134057052,,,,,,0.9759951647730104
Lesotho,,,,,,,,,-0.6675024806204729,,-0.8987065238859406,0.389595706337681,,-0.24046880043970784,,,0.47583589378121915,-0.3773450887014966,-0.9302015291996771,,,0.3972562267682048,0.4809899454283893,,0.9114085305788333,,,,,,0.6483534218737409
Guinea,,,,,,,-0.34565650991415053,,-0.7317196006725492,,-0.8688127132134572,-0.9086370248053783,,0.950453319227429,,,-0.7497139735249111,0.3491501664557375,-0.879155265458898,,,0.4386746420463223,0.7363529092665884,,0.907736376362755,,,0.4568197834293027,,,0.9080418389443906
Libya,,,,,,,,,-0.5860710553152899,,-0.3791421979340198,0.2317737172713358,,0.5982943729506449,,,-0.6690244662858388,-0.6117174102318834,-0.5701458750753239,,,-0.2357568565641685,0.4898136125317419,,0.4495236682923607,,,,,,0.6389764695459937
Cuba,,,,,,-0.8111504990747119,,,-0.49080461536813336,,-0.8574589384479983,0.9598547690056954,-0.6436138452473753,0.8685835070512776,,,-0.8599122461939607,-0.7417988496436795,-0.8687910054518396,,,0.9430325962871761,0.7248554640767733,,-0.9487882968942103,,,,,,0.7622864739374973
Greece,,,,-0.42209654114832856,0.4275134684727132,-0.8276743419775372,0.8426119093406953,,-0.729919692876312,-0.3009670693948905,0.17037456654420666,0.28286227443719564,-0.01218638926685166,0.6389834127236681,,,-0.8236718957496139,-0.48514380055511663,-0.5631302847061169,,,0.20422928674032068,0.01733591444020336,,-0.37641185018792883,,,,-0.22820583351364837,0.7760092193722641,0.41261033919556545
Hungary,,,,0.41834565175356003,,-0.8433385809745325,0.8806074885185191,,-0.9007549549690886,-0.4275024988448011,-0.6032005641909878,-0.5699630335770168,-0.6016303560406436,0.9318821352110612,,,-0.9133884415997929,-0.2755956138285674,-0.8804874707516787,,,-0.7347156837363918,-0.6774169520397417,,-0.8663882921473512,,,0.10434019541907409,0.2606643590171397,0.16533501927810187,-0.9355801918377901
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,-0.24945115763146247,,-0.9381256294898241,-0.9237349841594247,,0.934673260125237,,,-0.9242966278566573,0.18255968895907843,-0.9182385761566065,,,0.7657244124521376,0.5893170624039342,,0.3351322737975897,,,,,,0.9281378437738574
Kuwait,,,,,,,,,-0.6128278185879442,,-0.7192409750197881,-0.12509323181314674,,0.8710200133042895,,,-0.8769274954491795,0.5268683672829256,-0.7701898714308301,,,-0.547101374291759,-0.19062538469122617,,0.571070420009655,,,,,,0.8186219058036581
Qatar,,,,,,,0.5736163464631189,,-0.9301648625868706,,-0.9470777443024118,-0.9510320046559245,,0.9165936088263662,,,-0.8219963511366396,0.16718375933151056,-0.860154670371903,,,0.6306826258876509,0.6947086325530164,,0.8822974795751133,,,,,,0.9607969575095848
Togo,,,,-0.4507839408250736,,,0.9095534145585584,,-0.8686401377063698,,-0.977409459774554,-0.9748787340722076,,0.9651051827511752,,,-0.8852654171292064,-0.30660570527787473,-0.9136002683593996,,,0.7912617439402619,0.7093917872998281,,0.7617468045493755,,,-0.4320393732088654,,,0.9330820457431936
Venezuela (Bolivarian Republic of),,,,,,-0.8602262894339714,0.8876607632483152,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,,,,-0.02357487811726058,,,0.9733195706032117,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,0.9444226551010018,,-0.06434111409471,,0.7914391360043603,-0.6980228617559538,-0.8577291166631299,0.8359407365055419,,,-0.9200189388120223,0.7702567829587024,-0.903542770535973,,,-0.8344645772365923,-0.7220344140152866,,0.8835152183449252,,,,,,0.7508653437948742
Angola,,,,,,,,,-0.8083323752432928,,-0.8039898285801007,-0.9084311823179566,,0.9072023899505415,,,-0.9081926849162946,0.5358289395756288,-0.8237021163877797,,,0.8061786719970919,0.7110756895803839,,-0.6182822303668113,,,,,,0.8438867877743156
Belarus,,,,0.45946322780780774,,,0.3763138765273529,,0.4479173032445309,,0.37897151348639263,0.00922180445450449,-0.8380968735779849,0.8039599730279219,,,-0.9031556201676572,0.27189601119125384,-0.8687413510874756,,-0.8261609325669041,-0.18566089682867873,-0.5328519962700847,,-0.774987062083144,,,,,,-0.8541943267385058
Bangladesh,,,,,,,0.9668034584547573,,-0.22370909745486045,,-0.8495740756958093,-0.6883190241363218,,0.8301326683744649,,,-0.8215708283125849,-0.8105129470485358,-0.9542125161528205,,,-0.9048346196279978,-0.896882564792647,,0.8609683541398516,,,,,,0.8747617989200823
Cambodia,,,,,,,0.9885895876387686,,-0.5126179275568098,,-0.7676752630670407,-0.8085978842340168,,0.8993164750265609,,,-0.9097640756885217,-0.6822806000112318,-0.9573787054171247,,,-0.1317768007562995,-0.478339548812529,,0.8490701854181291,,,,,,0.9122582386565647
Chile,,,,,,-0.9293441259249318,0.9571565899453275,,-0.8679027381481652,-0.7215957574418266,-0.850144669860702,0.8538788282185237,,0.9351280208295034,,,-0.8317102490379006,-0.5052298107188491,-0.8185427328583912,,,0.5798998923624546,0.4230324244699219,,-0.6156172771450324,,,0.8927385047360008,-0.5853325650819514,0.9831937416917962,0.9412274161818736
Guinea-Bissau,,,,,,,0.891729864341114,,-0.7936028233372769,,-0.7561544320928639,-0.7560212917503827,,0.8150416765523929,,,-0.7785687025737839,0.7625078802933762,-0.7727940040581245,,,0.6064498735967653,0.32903141609209496,,0.7135442689315412,,,,,,0.8445741470665796
Philippines,,,,0.1567193994486891,,-0.2752897734245377,0.9566535261172507,,-0.7766275625311105,,-0.9688578689196047,0.3610601433162334,-0.29316816316334854,0.9200201428843031,,,-0.8345585862183784,-0.9164821989054122,-0.12899511014972653,,,-0.38773273989224305,-0.7212544504258723,,0.35135585803176395,,,,-0.39400846095904757,0.8057318369409019,0.9393849261919036
Cameroon,,,,,,,0.9812080025730173,,-0.4512176965658297,,-0.9249636884437379,-0.9893756831925118,,0.96740867319545,,,-0.9862358220547633,-0.34112113220724866,-0.9392256478663591,,,-0.6887483008425089,0.14520267155466546,,-0.04158515599858705,,,,,,0.9581139993743063
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9251624037307585
New Zealand,,,,-0.02658487909039903,,-0.9128525909047764,0.9478386793816713,,-0.8577048459979905,-0.8830641762812255,-0.830326153906199,-0.7183343407491176,-0.7867248230093122,0.9250450931113606,,,-0.8707084259192317,0.42103070889258426,-0.7774310081762489,,,-0.44946381950568476,-0.7248976755427399,,-0.8155694304094661,,,0.5102003056769537,0.6361243927678003,0.8927839521458578,0.9674784021394021
