AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
19.5652,,,12776.280738,2604243.0,0.689650136429024,12.257,7.096,4.2702841943,77.554,0.0276343008936864,9.3,-0.183211384606402,44.613,0.914,0.723,8.83,18.087,,,,2903788.0
19.9902,,,13228.240079,2450033.0,0.683323137080249,12.259,7.219,4.0396270147,77.813,0.0284155966202162,8.8,-0.207046999760594,43.577,0.914,0.722,8.17,18.151,,,,2896307.0
19.7802,,,11386.924853,2170996.0,0.652394325550909,12.197,7.367,2.214131417,78.025,0.0262991502417915,8.5,-0.291205786840436,42.566,0.914,0.724,8.88,18.06,,,,2890524.0
19.85,,,11861.356451,2160373.0,0.639653232694558,12.08,7.534,2.7369477905,78.194,0.0271870581486421,8.4,-0.159880412127734,41.579,0.914,0.724,9.62,18.196,,,,2886427.0
19.0221,,,13019.729856,2321675.0,0.669172345337542,11.934,7.714,2.0109778588,78.333,0.0262856705527916,8.4,-0.0919722937442495,40.617,0.894,0.745,9.18,18.318,,,,2884169.0
18.4409,,,15156.439968,2461345.0,0.642824083332857,11.78,7.898,2.2894924438,78.458,0.0262856705527916,8.5,-0.246732042281782,39.681,0.906,0.658,9.8,18.318,,,,2882735.0
18.6275,,,15400.237155,2461522.0,0.642824083332857,11.62,8.082,2.2894924438,78.573,0.0262856705527916,8.6,-0.426007367032238,38.771,0.921,0.609,9.8,18.318,,,,2880913.0
19.2521,,,14909.619335,2551046.0,0.642824083332857,11.453,8.263,2.2894924438,78.686,0.0262856705527916,8.8,-0.574206959244013,37.888,0.904,0.644,9.8,18.318,,,,2877800.0
9.79393,,,54666.896857,4120974.0,3.43711227611048,19.554,4.961,,70.64,0.403372854462751,33.9,1.35841747006607,40.081,0.555,0.672,8.79,23.879,,,,31042238.0
9.79393,,,55056.733057,4364914.0,3.35135915073133,19.257,4.882,,71.116,0.377529846477244,33.3,1.30982968660351,39.288,0.555,0.672,9.36,24.2,,,,31451513.0
9.31027,,,56819.210891,5534594.0,3.40820447768811,19.27,4.814,,71.605,0.356788306478692,32.4,1.27507186121623,38.499,0.555,0.672,8.19,24.458,,,,31855110.0
9.81055,,,67863.851626,7353352.0,3.23439256284591,19.557,4.757,,72.101,0.35125916504191,31.3,1.27591769425927,37.716,0.555,0.672,8.58,24.024,,,,32264159.0
9.44047,,,85332.517817,8959512.0,3.25680790630061,20.077,4.71,,72.594,0.330894978441868,30.1,1.31780940348245,36.939,0.555,0.672,8.22,26.052,,,,32692153.0
7.69131,,,103198.216067,8930083.0,3.19474035573985,20.774,4.674,,73.072,0.32148186808983,28.8,1.38991904537154,36.17,0.583,0.679,8.27,27.097,,,,33149720.0
7.54308,,,117027.277939,9907469.0,3.275743988642,21.582,4.651,,73.521,0.31968259868147,27.6,1.4711499117686,35.407,0.583,0.679,7.96,28.145,,,,33641007.0
7.57063,,,134977.088396,10372372.0,3.2110435285792,22.424,4.639,,73.936,0.323148386952017,26.4,1.55137942695249,34.652,0.583,0.683,8.02,29.471,,,,34166976.0
6.58668,,,171000.692135,12074853.0,3.15089018779777,23.226,4.637,,74.311,0.329832802149616,25.3,1.6361694381198,33.903,0.583,0.684,7.97,30.616,,,,34730604.0
9.34337,,,137211.008421,15629814.0,3.09407229630436,23.932,4.643,,74.644,0.338927707965948,24.4,1.7221075716178,33.174,0.583,0.676,8.92,33.577,,,,35333882.0
8.46644,,,161207.306305,16434180.0,2.86429171853981,24.504,4.656,,74.938,0.344174098367743,23.6,1.80500474736452,32.46,0.583,0.679,9.54,33.894,,,,35977451.0
8.11035,,,200019.103013,19429431.0,2.80827950207398,24.934,4.67,,75.199,0.353442526220147,22.9,1.88330858570333,31.764,0.589,0.682,9.27,32.683,,,,36661438.0
8.77069,,,209059.083118,22551040.0,2.75044291495617,25.246,4.685,,75.436,0.361341601373351,22.5,1.95146367479529,31.085,0.603,0.682,10.05,33.727,,,,37383899.0
9.85112,,,209755.003251,24249871.0,2.64261256075739,25.451,4.699,,75.661,0.366415066239218,22.1,2.00270360530766,30.424,0.602,0.681,11.85,34.379,,,,38140135.0
10.2864,,,213809.97948,25026385.0,2.7380433952256,25.538,4.709,,75.878,0.369533891735303,21.9,2.03358715504452,29.779,0.616,0.679,11.61,34.801,,,,38923688.0
11.5786,,,165979.118791,21632564.0,2.67032475341378,25.481,4.715,,76.09,0.372055973440117,21.6,2.0453720881528,29.152,0.628,0.678,10.73,35.124,,,,39728020.0
12.2201,,,160034.2117,20885400.0,2.60454129528141,25.25,4.717,,76.298,0.371412331841227,21.3,2.05135237337878,28.541,0.619,0.588,10.73,34.643,,,,40551398.0
11.7561,,,170096.984537,21837328.0,2.54331640918062,24.846,4.717,,76.499,0.368716398786842,20.9,2.04490931275225,27.948,0.608,0.581,10.73,34.508,,,,41389174.0
