,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
87,CHL,1995,3765.0,2.3027,45211705344.0,0.483,74.6,7.54
88,CHL,2000,2813.0,1.987,52430757888.0,0.429,76.9,8.33
89,CHL,2005,2218.0,1.8035,68422029312.0,0.37,78.0,7.43
90,CHL,2010,2160.0,1.8441,,0.339,78.5,5.92
91,CHN,2000,651151.0,1.6281,796594143232.0,0.275,71.9,2.75
92,CHN,2005,409142.0,1.6238,1247724830720.0,0.26,74.1,2.73
93,CHN,2010,273880.0,1.6865,3908740055040.0,0.253,75.6,2.71
94,CIV,1990,75428.0,6.7299,6079974912.0,0.696,52.6,
95,CIV,1995,87222.0,6.0893,6970441216.0,0.684,51.6,1.63
96,CIV,2000,92603.0,5.8141,7083212288.0,0.678,50.8,2.08
97,CIV,2005,88010.0,5.4596,9396676608.0,0.669,51.8,2.11
98,CIV,2010,79512.0,5.088,,0.66,,2.13
99,CMR,1990,,6.3917,6280312832.0,0.704,54.9,0.45
100,CMR,1995,82112.0,5.9555,5533968896.0,0.702,53.2,0.64
101,CMR,2000,88919.0,5.5295,6138309120.0,0.693,52.9,0.8
102,CMR,2005,88539.0,5.4074,9123289088.0,0.656,54.4,1.15
103,CMR,2010,85217.0,5.1601,,0.627,56.6,1.64
104,COD,2005,325913.0,6.5967,6580442624.0,0.65,53.9,0.5
105,COD,2010,316388.0,6.5868,13282238464.0,0.656,56.4,0.46
106,COG,2000,13114.0,4.7639,2128138752.0,0.62,53.7,0.96
107,COG,2005,11520.0,4.6627,3347839232.0,0.623,58.1,0.79
108,COG,2010,9464.0,4.8222,7771248128.0,0.615,61.7,0.64
109,COL,1990,31598.0,3.0816,,0.529,68.6,7.37
110,COL,1995,27190.0,2.8621,58618900480.0,0.515,69.9,8.61
111,COL,2000,22196.0,2.5723,66018136064.0,0.497,71.3,8.66
112,COL,2005,17862.0,2.2634,80611147776.0,0.488,73.1,6.6
113,COL,2010,14020.0,1.9918,,0.464,75.0,
114,CRI,1990,1431.0,3.2049,4169456896.0,0.478,76.6,
115,CRI,1995,1238.0,2.8044,7428082176.0,0.464,76.6,11.94
116,CRI,2000,1012.0,2.412,10539498496.0,0.427,77.6,12.39
117,CRI,2005,818.0,2.0437,10980669440.0,0.348,78.5,12.56
118,CRI,2010,754.0,1.9276,,0.333,78.7,
119,CUB,1990,2386.0,1.8041,16132451328.0,0.439,74.0,4.4
120,CUB,1995,1713.0,1.4712,19281655808.0,0.421,74.6,5.28
121,CUB,2000,1303.0,1.5808,20201488384.0,0.369,76.2,5.59
122,CUB,2005,977.0,1.4684,23454224384.0,0.328,77.0,8.32
123,CUB,2010,800.0,1.6925,,0.333,77.7,
124,CYP,1990,164.0,2.4055,3148795904.0,0.361,73.5,
125,CYP,1995,128.0,2.0326,6282732544.0,0.316,75.1,14.6
126,CYP,2000,82.0,1.6368,6562802176.0,0.239,76.6,15.89
127,CYP,2005,54.0,1.4798,10048467968.0,0.142,78.1,14.51
128,CYP,2010,43.0,1.438,,0.13,79.7,
129,DEU,1995,5103.0,1.2495,1642226778112.0,0.14,76.6,9.32
130,DEU,2000,4053.0,1.38,1288784969728.0,0.133,78.1,10.48
131,DEU,2005,3314.0,1.3408,1573769838592.0,0.108,79.3,10.89
132,DEU,2010,2822.0,1.3921,,0.096,80.1,13.14
133,DNK,1990,544.0,,77771849728.0,0.09,74.9,8.48
134,DNK,1995,436.0,1.8007,117232992256.0,0.093,75.3,10.37
135,DNK,2000,376.0,1.7661,108497641472.0,0.075,76.8,12.31
136,DNK,2005,323.0,1.7996,145507205120.0,0.055,78.2,14.53
137,DNK,2010,255.0,,,0.049,79.2,14.98
138,DOM,1990,12404.0,3.4109,3983730944.0,0.58,67.1,2.01
139,DOM,1995,10157.0,3.1009,10365855744.0,0.557,69.0,2.38
140,DOM,2000,8370.0,2.8587,15859766272.0,0.504,69.4,2.78
141,DOM,2005,7542.0,2.6046,18702176256.0,0.494,70.9,2.55
142,DOM,2010,7259.0,2.5385,,0.491,72.1,2.06
143,DZA,1990,40736.0,4.5564,34942369792.0,0.7,67.4,1.97
144,DZA,1995,31664.0,3.4563,26464544768.0,0.675,67.5,2.53
145,DZA,2000,24432.0,2.5655,36212449280.0,0.598,70.5,3.4
146,DZA,2005,22328.0,2.5546,56758816768.0,0.551,72.1,3.78
