,Unnamed,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
19892,8483,HKG,1986,,0.14443037402198003,0.15607481351150831,,0.6679389312977099,0.18823529411764708
19893,8484,HKG,1987,,0.1324680023517706,0.17281927356929072,,0.6755725190839695,0.22386237513873472
19894,8485,HKG,1988,,0.14813893537153452,0.18748296146086077,,0.679389312977099,0.25948945615982244
19895,8486,HKG,1989,,0.12914386504454795,0.23550714407345444,,0.6832061068702292,0.29511653718091013
19896,8487,HKG,1990,,0.12272172221970963,0.24276665374132214,,0.6946564885496184,0.33074361820199777
19897,8488,HKG,1991,,0.12534485097915066,0.2830867513614453,,0.702290076335878,0.35227524972253055
19898,8489,HKG,1992,,0.1384604947763556,0.33390436323974515,,0.7137404580152672,0.37380688124306327
19899,8490,HKG,1993,,0.13723938311247794,0.4519392163421245,,0.7251908396946564,0.395338512763596
19900,8491,HKG,1994,,0.13922934286101937,0.5000729474753847,,0.7404580152671757,0.4168701442841287
19901,8492,HKG,1995,,0.12514133236850433,0.5166075574915132,,0.7595419847328245,0.43840177580466144
19902,8493,HKG,1996,,0.10284473791325581,0.5772821693691552,,0.7709923664122138,0.4497225305216427
19903,8494,HKG,1997,,0.08534213739767535,0.6110546718763883,,0.7786259541984735,0.46104328523862376
19904,8495,HKG,1998,,0.06268373207905564,0.5750471567842032,,0.7938931297709921,0.47236403995560494
19905,8496,HKG,1999,,0.0553570620957894,0.5777472806905363,,0.8015267175572518,0.483684794672586
19906,8497,HKG,2000,,0.06406313599565824,0.6401018531272157,,0.8167938931297711,0.49500554938956715
19907,8498,HKG,2001,,0.043598209036226306,0.663986168765423,,0.8320610687022899,0.5960044395116537
19908,8499,HKG,2002,,0.0421509655827416,0.6261157951180358,,0.8396946564885496,0.6970033296337402
19909,8500,HKG,2003,,0.0355479173262177,0.5572924533097721,,0.83587786259542,0.7980022197558269
19910,8501,HKG,2004,,0.038510243770069175,0.5205561771838964,,0.8435114503816796,0.8990011098779134
19911,8502,HKG,2005,,0.047759033964994785,0.5630690319650924,,0.8587786259541984,1.0
