,Entity,Code,Year,Deaths,LifeExpectancy,GenderInequality,GDP ,Fertility,tertiary_education
77,Burundi,BDI,2010,32252,57.1,0.54,2623488256.0,6.2599,0.54
78,Cambodia,KHM,1990,44256,55.4,0.679,806497664.0,5.6444,0.19
79,Cambodia,KHM,1995,43529,56.3,0.654,2180581888.0,4.8244,0.24
80,Cambodia,KHM,2000,36145,58.6,0.602,2415062784.0,3.7719,0.23
81,Cambodia,KHM,2005,22051,64.3,0.571,3461162752.0,3.244,0.79
82,Cambodia,KHM,2010,15831,67.7,0.51,7275764224.0,2.7736,1.32
83,Cameroon,CMR,1990,69020,54.9,0.704,6280312832.0,6.3917,0.45
84,Cameroon,CMR,1995,82112,53.2,0.702,5533968896.0,5.9555,0.64
85,Cameroon,CMR,2000,88919,52.9,0.693,6138309120.0,5.5295,0.8
86,Cameroon,CMR,2005,88539,54.4,0.656,9123289088.0,5.4074,1.15
87,Cameroon,CMR,2010,85217,56.6,0.627,15287975936.0,5.1601,1.64
88,Canada,CAN,1990,3152,77.4,0.193,334487453696.0,1.8086,9.93
89,Canada,CAN,1995,2591,78.0,0.182,382755504128.0,1.6776,11.54
90,Canada,CAN,2000,2097,79.2,0.15,490604724224.0,1.4937,13.89
91,Canada,CAN,2005,2088,80.1,0.133,643144482816.0,1.5433,20.47
92,Canada,CAN,2010,2148,81.3,0.133,1044162609152.0,1.6296,22.67
93,Central African Republic,CAF,1990,20238,49.6,0.751,811375552.0,6.0447,0.87
94,Central African Republic,CAF,1995,22231,47.4,0.743,706786752.0,5.9716,0.81
95,Central African Republic,CAF,2000,24318,45.4,0.71,604421568.0,5.9149,0.83
96,Central African Republic,CAF,2005,25553,46.4,0.694,742662848.0,5.8493,0.82
97,Central African Republic,CAF,2010,24073,49.3,0.701,1285307136.0,5.9365,0.83
98,Chile,CHL,1990,5598,72.6,0.512,17773262848.0,2.5787,6.23
99,Chile,CHL,1995,3765,74.6,0.483,45211705344.0,2.3027,7.54
100,Chile,CHL,2000,2813,76.9,0.429,52430757888.0,1.987,8.33
101,Chile,CHL,2005,2218,78.0,0.37,68422029312.0,1.8035,7.43
102,Chile,CHL,2010,2160,78.5,0.339,140786204672.0,1.8441,5.92
103,China,CHN,2000,651151,71.9,0.275,796594143232.0,1.6281,2.75
104,China,CHN,2005,409142,74.1,0.26,1247724830720.0,1.6238,2.73
105,China,CHN,2010,273880,75.6,0.253,3908740055040.0,1.6865,2.71
106,Colombia,COL,1990,31598,68.6,0.529,22681503744.0,3.0816,7.37
107,Colombia,COL,1995,27190,69.9,0.515,58618900480.0,2.8621,8.61
108,Colombia,COL,2000,22196,71.3,0.497,66018136064.0,2.5723,8.66
109,Colombia,COL,2005,17862,73.1,0.488,80611147776.0,2.2634,6.6
110,Colombia,COL,2010,14020,75.0,0.464,185752141824.0,1.9918,18.55
111,Congo,COG,2000,13114,53.7,0.62,2128138752.0,4.7639,0.96
112,Congo,COG,2005,11520,58.1,0.623,3347839232.0,4.6627,0.79
113,Congo,COG,2010,9464,61.7,0.615,7771248128.0,4.8222,0.64
114,Costa Rica,CRI,1990,1431,76.6,0.478,4169456896.0,3.2049,9.71
115,Costa Rica,CRI,1995,1238,76.6,0.464,7428082176.0,2.8044,11.94
116,Costa Rica,CRI,2000,1012,77.6,0.427,10539498496.0,2.412,12.39
117,Costa Rica,CRI,2005,818,78.5,0.348,10980669440.0,2.0437,12.56
118,Costa Rica,CRI,2010,754,78.7,0.333,23491514368.0,1.9276,14.69
119,Cote d'Ivoire,CIV,1990,75428,52.6,0.696,6079974912.0,6.7299,0.85
120,Cote d'Ivoire,CIV,1995,87222,51.6,0.684,6970441216.0,6.0893,1.63
121,Cote d'Ivoire,CIV,2000,92603,50.8,0.678,7083212288.0,5.8141,2.08
